"No","Name_EN","Name_KO","Origin_EN","Origin_KO","Size_EN","Size_KO","Lifespan_EN","Lifespan_KO","Weight","description_EN","description_KO"
"1","Beagle","비글","United Kingdom","영국","Medium","중형","12~15 years","12~15 년","9~11kg","The Beagle is a small hound breed that originated in the UK. It is known for its short, dense coat, broad head, and long, floppy ears. Weighing between 8–14 kg (with the pocket beagle weighing about 4–5 kg), it was refined into its current form in 17th-century England, primarily for rabbit hunting due to its excellent sense of smell and agility. While friendly, beagles can be independent and hard to train. Traditionally used for hunting, they now also serve roles like drug detection. They require ample space due to high activity levels and are prone to health issues such as ear infections, cataracts, epilepsy, obesity, herniated discs, and bladder cancer. With a calm and cheerful personality, they are a popular breed often seen in pop culture, such as Snoopy from Peanuts and Courage from Courage the Cowardly Dog.","비글은 영국에서 기원한 소형 하운드견으로, 짧고 빽빽한 털과 넓적한 머리, 부드럽고 긴 귀가 특징입니다. 체중은 8~14kg, 포켓비글은 4~5kg 정도로 크기에 따라 두 종류로 나뉩니다. 17세기 영국에서 현재의 품종으로 개량되었으며, 뛰어난 후각과 민첩함으로 토끼 사냥에 주로 사용되었습니다. 붙임성이 있지만 독립적이고, 훈련이 쉽지 않아 전통적으로 사냥용으로 쓰였으나 최근에는 마약탐지견 등으로도 활약합니다. 활동량이 많아 넓은 공간이 필요하며, 외이염, 백내장, 뇌전증, 비만, 허리 디스크, 방광암 등 건강 관리에 주의해야 합니다. 느긋하고 명랑한 성격으로, 만화 ‘피너츠’의 스누피, ‘겁쟁이 강아지 커리지’의 커리지 등 다양한 대중문화에서 등장하는 인기 견종입니다."
"2","Bichon Frise","비숑 프리제","France","프랑스","Small","소형","12~15 years","12~15 년","5~10kg","The Bichon Frisé is a small breed originating from France, Belgium, and Switzerland. It has a distinctive fluffy white coat, round face, and black eyes and nose. It typically weighs between 5.4–8.2 kg and lives 15–16 years. Bichons are independent, energetic, and excitable. As puppies, they may experience bursts of energy known as “Bichon Time” and may run around the house if not exercised. Their curly coat requires meticulous grooming, and while they have a good appetite, the breed is not classified by size. Although miniature bichons have appeared through crossbreeding with breeds like Maltese and Toy Poodles, they are not officially recognized. Bichons are popular in dog shows and as companion pets.","비숑 프리제는 프랑스와 벨기에, 스위스가 원산지인 소형견으로, 흰색의 곱슬거리는 털과 동그란 얼굴, 까만 코와 눈이 조화를 이룹니다. 표준 체중은 5.4~8.2kg, 수명은 15~16년입니다. 독립심이 강하고 활발하며, 흥분을 잘하는 경향이 있습니다. 어릴 때는 ‘비숑 타임’이라 불리는 에너지 폭발 행동을 보이기도 하며, 산책이 부족하면 집안을 뛰어다니기도 합니다. 털이 곱슬거려 관리가 까다롭고, 식성이 좋으며, 품종은 단일로 크기별로 구분되지 않습니다. 최근에는 말티즈, 토이푸들과의 교배로 미니비숑이 등장했으나 공식 품종은 아닙니다. 도그쇼에서 인기가 많고, 반려견으로도 사랑받는 견종입니다."
"3","Border Collie","보더 콜리","Scotland, UK","영국 스코틀랜드","Medium","중형","12~15 years","12~15 년","12~20kg","The Border Collie was developed as a herding dog on the border of England and Scotland and is the most widespread of the collie breeds. Known for its athletic build, intelligence, and energy, it excels in dog sports like frisbee and sheepdog trials. Often regarded as the world’s smartest dog, some individuals can understand over 1,000 words. Their thick double coat requires careful grooming, and they need ample physical and mental stimulation. Border Collies serve various roles such as companions, working dogs, and service animals, and they form strong bonds with their families.","보더 콜리는 잉글랜드와 스코틀랜드 국경에서 양을 몰기 위해 개량된 목양견으로, 콜리 품종 중 가장 널리 퍼진 견종입니다. 탄탄한 외형과 뛰어난 활동성, 지능을 자랑하며, 프리스비 등 각종 도그 스포츠와 쉽독 트라이얼에서 우수한 성적을 거둡니다. 세계에서 가장 영리한 개로 꼽히며, 실제로 1,000개 이상의 단어를 구분하는 보더 콜리도 있습니다. 숱이 많고 속털이 깊어 털 관리가 중요하며, 에너지가 넘쳐 충분한 운동과 정신적 자극이 필요합니다. 반려견, 실용견, 사역견 등 다양한 역할을 수행하며, 가족과의 유대감도 강한 견종입니다."
"4","Cavalier King Charles Spaniel","카발리에 킹 찰스 스패니얼","United Kingdom","영국","Small","소형","11~14 years","11~14 년","5.9~8.2kg","This breed was developed in the 1920s by Roswell Eldridge in the US to resemble the original King Charles Spaniel. It is beloved for its elegant appearance, gentle temperament, and social nature. It comes in four colors: Blenheim, Tricolor, Ruby, and Black and Tan. With a lovable and adorable look, it is a favorite in both dog shows and popular media, and it gets along well with families.","카발리에 킹 찰스 스패니얼은 스패니얼 품종의 일종으로, 1920년 미국의 로스웰 엘드리지가 킹 찰스 스패니얼을 모델로 5년간 연구해 개량한 변종입니다. 우아한 외모와 온화한 성격, 사교성이 뛰어나 반려견으로 인기가 많습니다. 네 가지 털색(블렌하임, 트라이컬러, 루비, 블랙앤탄)이 있으며, 귀엽고 사랑스러운 외모로 많은 사람들에게 사랑받고 있습니다. 도그쇼와 대중문화에서도 자주 등장하며, 가족과 잘 어울리는 성격을 가졌습니다."
"5","Chihuahua (dog breed)","치와와 (개)","Mexico","멕시코","Extra Small","초소형","11~18 years","11~18 년","1.5~3kg","Originating from the Mexican state of Chihuahua, the Chihuahua is the world’s smallest dog breed and is often kept as a pet or show dog. DNA analysis shows traces of native North American dogs, and it is believed to have existed since the 16th-century Spanish conquest. It was officially recognized in the US in 1904. The breed is small but bold, with large eyes and ears. It comes in various coat colors and both short- and long-haired varieties.","치와와는 멕시코 치와와주에서 유래한 세계에서 가장 작은 견종으로, 반려견이나 도그쇼 출전용으로 많이 기릅니다. DNA 연구에 따르면 북미 토착 개의 유전적 특성이 일부 남아 있으며, 16세기 스페인 정복자 시절부터 존재했던 것으로 추정됩니다. 19세기 초 기록에도 등장하며, 1904년 미국에서 공식 등록되었습니다. 작은 체구와 큰 눈, 귀가 특징이며, 용감하고 경계심이 강한 성격을 가졌습니다. 다양한 털색과 단모·장모가 존재합니다."
"6","ChowChow","차우차우","China","중국","Large","대형","11~13 years","11~13 년","20~32kg","This medium-sized breed from China stands about 50 cm tall and weighs 25–27 kg. It has a thick, dense coat, wrinkled face, and a distinctive blue-black or purple tongue. A member of the northern Spitz group, it is an ancient breed historically used for fur and meat in Mongolia. Chow Chows are known for being aloof, reserved toward strangers, independent, and loyal. The name “Chow Chow” originated from trade with British merchants in the 18th century.","차우차우는 중국 원산의 중형견으로, 어깨높이 약 50cm, 몸무게 25~27kg입니다. 두텁고 촘촘한 털, 다양한 털색, 주름진 얼굴, 흑색 또는 보라색 혀가 특징입니다. 북방계 스피츠에 속하는 오래된 품종으로, 고대 몽골에서는 모피용 가축이나 식용으로도 번식되었습니다. 성질이 사납고 가족 이외의 사람에게 경계심이 강하며, 독립적이고 충성심이 높습니다. 이름은 18세기 영국 상인과의 교역에서 유래되었습니다."
"7","Cocker Spaniel","코커 스패니얼","United Kingdom","영국","Medium","중형","12~15 years","12~15 년","11~16kg","Cocker Spaniels come in two types: American and English. Originally used as hunting dogs in England, the American version was developed after the discovery of the New World. They have long, luxurious ears, a cheerful temperament, and balanced build, making them popular as both pets and hunting dogs. They are social, energetic, and affectionate toward their families.","코커 스패니얼은 스패니얼 종류의 개 품종으로, 아메리칸 코커 스패니얼과 잉글리시 코커 스패니얼 두 종류가 있습니다. 원래 영국에서 사냥견으로 사용되었으며, 신대륙 발견 이후 미국에서 아메리칸 코커 스패니얼이 개량되었습니다. 풍성한 귀털과 명랑한 성격, 균형 잡힌 체형이 특징이며, 반려견과 사냥견 모두로 인기가 많습니다. 가족과 잘 어울리며, 활발하고 사교적인 성격을 가졌습니다."
"8","Dachshund","닥스훈트","Germany","독일","Small~Medium","소형~중형","12~16 years","12~16 년","4.5~14.5kg","The Dachshund is a small German breed developed for badger hunting, with a long body and short legs. The name means ""badger dog"" in German. Brave and curious, they come in three coat types: smooth, long-haired, and wire-haired, each with slight personality differences. Despite their small size, they are alert, intelligent, and affectionate toward family. Their long spine makes them prone to back problems, so they should avoid stairs and jumping. They may chase small animals due to hunting instincts and have a loud bark. While social, they can suffer from separation anxiety, so they need attention and bonding. Popular worldwide, they come in various colors and sizes and are known for their cheerful, lively nature. Regular exercise and weight control are important for their health.","닥스훈트는 독일에서 오소리 사냥을 위해 개발된 소형견으로, 독특하게 긴 몸과 짧은 다리가 특징입니다. 이름은 독일어로 ‘오소리 개’라는 뜻을 가지고 있으며, 사냥 본능이 강하고 용감하며, 호기심이 많아 활발하게 움직입니다. 닥스훈트는 단모, 장모, 와이어헤어 세 가지 털 유형이 있으며, 각각의 털 유형에 따라 성격과 외모가 조금씩 다릅니다. 몸집은 작지만 경계심이 강하고, 가족에 대한 애착이 깊으며, 낯선 사람에게는 다소 경계심을 보일 수 있습니다. 지능이 높아 훈련이 가능하지만, 고집이 있어 일관된 훈육이 필요합니다. 척추가 길고 다리가 짧아 허리 디스크 등 척추 질환에 취약하므로, 계단 오르내리기나 점프 등은 주의해야 합니다. 닥스훈트는 사냥견으로서의 본능이 남아 있어 작은 동물이나 움직이는 물체를 쫓는 경향이 있으며, 짖는 소리가 큰 편입니다. 사회성이 좋아 가족과 잘 어울리지만, 분리불안이 생길 수 있으므로 충분한 관심과 교감이 필요합니다. 전 세계적으로 사랑받는 반려견으로, 다양한 색상과 무늬, 크기로 인기가 높으며, 활발하고 명랑한 성격 덕분에 어린이와도 잘 지냅니다. 건강을 위해 적절한 운동과 체중 관리가 중요하며, 정기적인 건강 검진이 필요합니다."
"9","Doberman","도베르만","Germany","독일","Large","대형","10~13 years","10~13 년","32~45kg","The Doberman is a medium-large breed developed in 19th-century Germany for guarding and protection. Created by Friedrich Louis Dobermann, it is muscular, sleek, and has short, glossy fur with pointed ears and tail. Highly intelligent and loyal, Dobermans work as police, military, guard, and rescue dogs. They are protective of their families and wary of strangers but become affectionate with proper socialization and training. Active and energetic, they need physical and mental stimulation or may become destructive. Though generally healthy, they are prone to issues like cardiomyopathy, hip dysplasia, and von Willebrand’s disease. Their short coat is easy to maintain. Despite their tough appearance, they are affectionate, get along with kids, and form strong bonds with owners. They are popular as both guard and companion dogs.","도베르만은 독일에서 19세기 후반 경비와 보호를 목적으로 개발된 중대형 견종입니다. 프리드리히 루이스 도베르만이 다양한 견종을 교배해 만들었으며, 날렵하고 근육질의 체형, 짧고 윤기나는 털, 뾰족한 귀와 꼬리가 특징입니다. 도베르만은 지능이 매우 높고, 충성심과 용감함이 뛰어나 경찰견, 군견, 경비견, 구조견 등 다양한 분야에서 활약합니다. 가족에 대한 보호 본능이 강하며, 낯선 사람에게는 경계심을 보이지만, 올바른 사회화와 훈련을 받으면 온순하고 친근한 반려견이 될 수 있습니다. 에너지가 많아 충분한 운동이 필요하며, 지루함을 느끼면 파괴적인 행동을 보일 수 있으므로 정신적 자극도 중요합니다. 도베르만은 건강한 품종이지만, 심장 질환(확장성 심근증), 고관절 이형성증, 혈액 질환(폰 빌레브란트병) 등에 취약할 수 있어 정기적인 건강 검진이 필요합니다. 털이 짧아 관리가 비교적 쉽고, 깨끗한 환경을 선호합니다. 도베르만은 강인한 인상과 달리 가족에게는 애정이 많고, 아이들과도 잘 지낼 수 있습니다. 훈련성이 높아 다양한 명령을 빠르게 습득하며, 보호자와의 유대감이 깊은 견종입니다. 전 세계적으로 인기 있는 경비견이자 반려견입니다."
"10","French Bulldog","프렌치 불독","France","프랑스","Small~Medium","소형~중형","9~12 years","9~12 년","8~14kg","The French Bulldog was developed in 19th-century France by crossing English Bulldogs with local breeds. Small and muscular with a flat snout, round head, and bat-like ears, they weigh about 8–14 kg. Frenchies are gentle, affectionate, and social, making them great apartment dogs. They bark little and don’t need excessive exercise. Their short coat is easy to maintain, but their facial wrinkles must be kept clean to prevent skin problems. They are sensitive to heat and can suffer from breathing issues due to their flat face. They bond closely with families and get along well with kids and strangers. Though smart, they can be a bit stubborn and require consistent training. Loved worldwide for their cute appearance and friendly nature, they require proper exercise, weight control, and regular vet checkups.","프렌치 불독은 19세기 프랑스에서 영국 불독과 프랑스 토종견을 교배해 탄생한 소형견입니다. 근육질의 몸매, 짧은 주둥이, 넓고 둥근 머리, 박쥐귀가 특징이며, 체중은 8~14kg 정도입니다. 프렌치 불독은 온순하고 애교가 많으며, 사람을 좋아하고 사회성이 뛰어나 실내 생활에 적합합니다. 짖는 소리가 적고, 활동량이 많지 않아 아파트 등 좁은 공간에서도 잘 지낼 수 있습니다. 짧은 털로 관리가 쉽지만, 주름진 얼굴은 청결하게 관리해야 피부 질환을 예방할 수 있습니다. 더운 날씨에 약해 열사병에 주의해야 하며, 코가 짧아 호흡기 질환에 취약할 수 있습니다. 프렌치 불독은 가족과의 유대감이 강하고, 아이들과도 잘 어울리며, 낯선 사람이나 다른 동물과도 비교적 잘 지냅니다. 지능이 높아 기본적인 훈련이 가능하지만, 다소 고집이 있을 수 있어 일관된 훈육이 필요합니다. 전 세계적으로 사랑받는 반려견으로, 귀여운 외모와 친근한 성격 덕분에 많은 사람들에게 인기가 높습니다. 건강을 위해 적절한 운동과 체중 관리, 정기적인 건강 검진이 필요합니다."
